area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;016102;036;04;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;65,4854894680576;010150016102;01015001610203604;010150016102036041;202306
1;10150;016102;036;05;1;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;2711;65,4854894680576;010150016102;01015001610203605;010150016102036051;202306
1;10150;016102;036;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;65,4854894680576;010150016102;01015001610203606;010150016102036061;202306
1;10150;016102;036;07;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;65,4854894680576;010150016102;01015001610203607;010150016102036071;202306
1;10150;016302;042;02;1;2;3;1;2;2;2;2;2;2;2;2;2;3;2;3;3;2711;196,7254754415;010150016302;01015001630204202;010150016302042021;202306
1;10150;016302;042;04;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2711;196,7254754415;010150016302;01015001630204204;010150016302042041;202306
1;10150;016302;042;05;1;2;2;2;2;3;2;2;2;2;2;2;2;2;2;3;3;2711;196,7254754415;010150016302;01015001630204205;010150016302042051;202306
1;10150;016302;042;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2711;196,7254754415;010150016302;01015001630204207;010150016302042071;202306
1;10150;016302;042;08;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2711;196,7254754415;010150016302;01015001630204208;010150016302042081;202306
1;10150;016302;042;09;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2711;196,7254754415;010150016302;01015001630204209;010150016302042091;202306
1;10150;016302;042;10;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;196,7254754415;010150016302;01015001630204210;010150016302042101;202306
1;10150;016803;042;01;1;1;2;1;2;2;2;1;1;2;2;2;2;3;3;2;2;2713;119,07061101816;010150016803;01015001680304201;010150016803042011;202306
1;10150;016803;042;02;1;2;1;2;1;2;2;2;2;2;1;2;2;2;1;3;1;2713;119,07061101816;010150016803;01015001680304202;010150016803042021;202306
1;10150;016803;042;03;1;2;2;2;3;2;3;1;3;2;3;2;1;2;3;1;2;2713;119,07061101816;010150016803;01015001680304203;010150016803042031;202306
1;10150;016803;042;04;1;2;2;1;2;1;1;2;2;3;2;2;2;3;3;3;3;2713;119,07061101816;010150016803;01015001680304204;010150016803042041;202306
1;10150;016803;042;05;1;2;2;2;2;2;2;2;2;3;3;2;2;3;1;2;2;2713;119,07061101816;010150016803;01015001680304205;010150016803042051;202306
